symbol,date,high,low,close,volume,ema50,ema200,rsi,return_1m,return_3m,return_6m,avg_volume_30,volume_expansion
VOLTAS,2026-05-25,1295.0,1276.3,1284.0,1052123,,,,,,,,
VTL,2026-05-25,623.0,591.8,601.4,273602,,,,,,,,
WAAREEENER,2026-05-25,3028.3,2974.9,2984.2,1277965,,,,,,,,
WELCORP,2026-05-25,1321.4,1284.9,1297.6,461997,,,,,,,,
WELSPUNLIV,2026-05-25,141.63,137.85,138.62,1291429,,,,,,,,
WHIRLPOOL,2026-05-25,863.0,844.8,855.1,329005,,,,,,,,
WIPRO,2026-05-25,209.55,204.06,206.84,72041558,,,,,,,,
WOCKPHARMA,2026-05-25,1645.0,1571.0,1637.6,1556653,,,,,,,,
YESBANK,2026-05-25,22.4,22.01,22.29,69502731,,,,,,,,
ZEEL,2026-05-25,84.75,82.38,82.68,8871000,,,,,,,,
ZENSARTECH,2026-05-25,496.8,491.75,493.05,196446,,,,,,,,
ZENTEC,2026-05-25,1624.0,1593.2,1608.0,265204,,,,,,,,
ZFCVINDIA,2026-05-25,15250.0,14857.0,14993.0,14498,,,,,,,,
ZYDUSLIFE,2026-05-25,1075.0,1041.5,1072.95,2355182,,,,,,,,
ZYDUSWELL,2026-05-25,498.2,484.55,486.25,220734,,,,,,,,
